单词,中文释义(选填),音标(选填),音节拆分(选填),词根词缀(选填),语义推导(选填)
aunt,n.姑姑，阿姨，婶⺟，伯⺟，姨⺟，舅⺟ ，姑⺟,/ɑːnt/,aunt,,
cousin,n.堂兄弟（或姐妹）；表兄弟（或姐妹）,/ˈkʌzn/,cous-in,,
friend,n.朋友，友⼈,/frend/,friend,,
people,n.⼈，⼈们(单复数同形),/ˈpiːpl/,peo-ple,,
kid,n.⼩孩；年轻⼈ v.哄骗；开玩笑,/kɪd/,kid,,
child,n.⼉童(复数形式为children),/tʃaɪld/,child,,
baby,n.婴⼉；幼兽；幼⻦ adj.幼⼩的,/ˈbeɪbi/,ba-by,,
boy,n.男孩，男⽣,/bɔɪ/,boy,,
girl,n.⼥孩，⼩姑娘,/ɡɜːl/,girl,,
man,n.（成年）男⼈；⼈ v.操作；⼯作,/mæn/,man,,
woman,n.(复数是women）妇⼥，⼥⼈；成年⼥ ⼦,/ˈwʊmən/,wom-an,,
sir,"n.⻓官；先⽣（⽤于正式信函中对不知名 的男性收信⼈的称呼时,写为Sir）",/sɜː(r)/,sir,,
Mr,n.先⽣(⽤于男⼦的姓⽒或姓名前...),/ˈmɪstə/,,,
Miss,n.⼥⼠，⼩姐（称呼）,/mɪs/,miss,,
Mrs,abbr.太太；夫⼈；Mistress的缩写,/ˈmɪsɪz/,,,
Ms,n.（⽤于⼥⼦的姓⽒或姓名前，不指明婚 否）⼥⼠,/mɪz/,,,
pet,n.宠物；宠⼉ v.爱抚 adj.钟爱的,/pet/,pet,,
body,n.躯⼲；⾝体,/ˈbɒdi/,bod-y,,
head,n.头，头部；脑袋；上端；⾸脑；负责⼈ v.朝......⾏进；前往；居⾸位；领导 adj.头的；主要的,/hed/,head,,
hair,n.头发；（或动物的）⽑发,/heə(r)/,hair,,
face,n.脸；⾯孔；⾯ v.⾯对；⾯临，必须对付 （某情况）；⾯向,/feɪs/,face,,
eye,n.眼睛 v.注视；审视,/aɪ/,eye,,
ear,n.耳朵,/ɪə(r)/,ear,,
nose,n.⿐，⿐⼦,/nəʊz/,nose,,
mouth,n.（pl.mouths）嘴；⼝,/maʊθ/,mouth,,
tooth,n.⽛⻮（复数teeth）,/tuːθ/,tooth,,
tongue,n.⾆，⾆头；语⾔,/tʌŋ/,,,
shoulder,n.肩；肩膀 v.承担,/ˈʃəʊldə(r)/,shoul-der,,
back,n.背⾯；反⾯；背部；后⾯ adv.回原处 /bæk/ ；向后 adj.后⾯的；拖⽋的 v.⽀持,,back,,
arm,n.⼿臂，上肢 v.武装,/ɑːm/,arm,,
hand,n.⼿ v.交；递；给,/hænd/,hand,,
finger,"n.⼿指,指针 v.⽤⼿指拨弄,伸出",/ˈfɪŋɡə(r)/,fin-ger,,
leg,n.腿，腿部；直⻆边,/leɡ/,leg,,
knee,n.膝盖；膝部,/niː/,knee,,
foot,n.(复数形式位feet)脚，⾜ n.尺；⽀脚,/fʊt/,foot,,
thin,adj.瘦的；薄的；稀的；细的,/θɪn/,thin,,
slim,adj.苗条的；薄的；⽆价值的；细⻓的 v.变细；减肥,/slɪm/,,,
fat,adj.肥胖的，肥的 n.脂肪,/fæt/,,,
heavy,adj.⼤量的；重的，沉的；厚的,/ˈhevi/,heav-y,,
tall,adj.有......⾼的；⾼的,/tɔːl/,tall,,
short,adj.矮的，个⼦矮的；短的 adj.短暂的,/ʃɔːt/,short,,
healthy,adj.有益健康的；健康的,/ˈhelθi/,health-y,health|健康 + -y|...的,有健康的 → 健康的
